site,n
achziv,103
adrasan,18
alonissos,18
assecret1310191,9
assecret1310192,9
assecret1310193,6
assecret1410193,7
assecret1610191,9
assecret1810191,8
assecret1810192,8
assecret1810193,11
assecret1910191,9
assecret1910192,9
assecret1910193,9
assecret2010191,9
assecret2010192,7
assecret2010193,8
assecret2210191,8
assecret2210192,1
ayvalik,18
cabrera,18
cap_de_creus,18
capo_caccia,12
carloforte,18
cavalleria,18
dragonera,18
eivissa,18
fethiye,14
formentera,18
formentor,15
gdor,110
genova,18
gokova,18
gyaros,18
habonim,88
illa_de_l'aire,18
karpathos,18
kas,17
kimolos,18
lampedusa,94
malta,88
maratea,15
medes,18
montgri,18
otranto,18
piperi,18
porto_cesareo,9
portofino,12
shikmona,93
tavolara,15
torre_guaceto,18
tremiti,9
Akamas,10
Akrotiri,9
Kavo Gkreko,124
Moulia,4
Nisia,34
