Focal species,Variable,RI,Key coefficient
Siganus rivulatus,Productivity,0.7005354900743759,0.17921091636769504
Siganus rivulatus,Depth,0.26453354704807586,-0.11012597516688209
Siganus rivulatus,MPA,0.03493096287754824,-0.04001793441034151
Siganus luridus,Productivity x Sparisoma cretense,0.3109905655602575,-0.17455520548557682
Siganus luridus,Sparisoma cretense,0.25025749443867024,0.1565859327362052
Siganus luridus,MPA,0.2289869657191558,0.14978370837278876
Siganus luridus,Productivity,0.13363064215007928,-0.11442270889596387
Siganus luridus,Temperature,0.06661964868955518,0.08079051315421178
Sarpa salpa,Temperature,0.9673940037240565,-0.27549941139888
Sarpa salpa,Depth,0.032605996275943426,-0.050578706332065626
Sparisoma cretense,Productivity,0.6942240698555168,-0.3552777930502682
Sparisoma cretense,Productivity x Siganus luridus,0.16758268785026958,-0.17455520548557682
Sparisoma cretense,Siganus luridus,0.1348556136973235,0.1565859327362052
